Date,Sentiment_Score
2021-02-05,0.2249714720812183
2021-02-06,0.2556503253796095
2021-02-07,0.2545499424626007
2021-02-08,0.26965531421951927
2021-02-09,0.2653586856264412
2021-02-10,0.2932240361732509
2021-02-13,0.26957377647918185
2021-02-14,0.4028129274708756
2021-02-15,0.4603700205338809
2021-02-18,0.2765485007496252
2021-02-19,0.25131035502958576
2021-02-22,0.2247265717092338
2021-02-28,0.22564108761329305
2021-03-11,0.13554957983193275
2021-03-12,0.2152063793831855
2021-04-05,0.3154726724137931
2021-04-06,0.32059573643410855
2021-04-07,0.28656489778164423
2021-04-08,0.2971165507649513
2021-04-09,0.21920354107648726
2021-04-10,0.2807764040052242
2021-04-11,0.30680700164744645
2021-04-12,0.27340594900849857
2021-04-17,0.3750079295154185
2021-04-18,0.2302812894649385
2021-04-19,0.2459372946121513
2021-04-20,0.2660938775510204
2021-04-21,0.2090275631500743
2021-04-22,0.213186974009901
2021-04-23,0.19329123658661218
2021-04-24,0.2354421287681429
2021-05-25,0.2409883632408918
2021-05-26,0.20170783365570596
2021-05-27,0.24777858979067205
2021-05-28,0.21049928263988524
2021-05-29,0.19398700000000002
2021-06-20,0.3797905909797823
2021-06-21,0.31300420937768664
2021-06-22,0.2741290099195209
2021-06-23,0.3167563809163554
2021-07-02,0.34939733987807775
2021-07-03,0.42112096203601035
2021-07-04,0.4247711417440815
2021-07-05,0.411751052492746
2021-07-16,0.19803760683760685
2021-07-17,0.367197231551239
2021-07-18,0.43691001188942835
2021-07-19,0.3852320967129014
2021-07-20,0.30052412343511803
2021-07-21,0.36279057879485843
2021-07-22,0.4223346790983978
2021-07-23,0.410978909150114
2021-07-24,0.4093286315224201
2021-07-25,0.3806285387256772
2021-07-26,0.32002430153626293
2021-07-27,0.38149089968976213
2021-07-28,0.3547994741873805
2021-07-29,0.5204272848800394
2021-07-30,0.38952985068912716
2021-08-04,0.32688802039082415
2021-08-05,0.32679401951883796
2021-08-06,0.3831387903225807
2021-08-07,0.3449422023354796
2021-08-08,0.41356490057890766
2021-08-09,0.46806614358669246
2021-08-14,0.4818914863498483
2021-08-15,0.43041901428436286
2021-08-16,0.43246165350877197
2021-08-17,0.4482123653800802
2021-08-18,0.46546879622915155
2021-08-19,0.4094377588773124
2021-08-20,0.4235564991995121
2021-08-21,0.41770769646232786
2021-08-23,0.36807443150305047
2021-08-24,0.42527183734140256
2021-08-25,0.5054088201351872
2021-08-26,0.4484873671949455
2021-09-10,0.3941342777237354
2021-10-18,0.3993760606823618
2021-10-19,0.3981380213903743
2021-10-20,0.38098798593200467
2021-10-21,0.38379957538657516
2021-10-22,0.4470007229883518
2021-10-23,0.4548447152985893
2021-10-27,0.2695313997005988
2021-10-28,0.36517877058598236
2021-10-29,0.3925622731498323
2021-11-04,0.4170745951077851
2021-11-05,0.4107657146339481
2021-11-06,0.44151423101467774
2021-11-11,0.38707606676342526
2021-11-12,0.40484203162365706
2021-11-18,0.32104201398714477
2021-11-19,0.35334118679775284
2021-11-24,0.34563327910759933
2021-11-25,0.4673814343139696
2021-11-26,0.36594156209486073
2021-12-11,0.3369684621193053
2021-12-17,0.3768152364033889
2021-12-29,0.2952998179335457
2021-12-30,0.35443170459877993
2022-01-11,0.3447050093414292
2022-01-12,0.36702200548325087
2022-01-13,0.3500047052934551
2022-01-14,0.37700156964411974
2022-01-19,0.3208868591124515
2022-01-20,0.33422136874228947
2022-01-21,0.28332466325693983
2022-01-22,0.2847564099572151
2022-02-09,0.3380176907531815
2022-02-14,0.33020765432098764
2022-02-15,0.365515472972973
2022-02-16,0.3553975717439294
2022-02-17,0.3603067618578697
2022-02-18,0.35326632226516286
2022-03-02,0.34624374672030783
2022-03-06,0.36003930384336474
2022-03-07,0.34278205049825766
2022-03-08,0.28676089994410286
2022-03-09,0.3422797305906981
2022-03-10,0.3605624017957351
2022-03-14,0.3081334555827221
2022-03-15,0.34876109278257333
2022-03-16,0.32849105082734525
2022-03-17,0.3133822576578848
2022-03-18,0.3248781897897005
2022-03-19,0.42062637792135277
2022-03-20,0.38920885834287894
2022-03-21,0.36109913431000923
2022-03-22,0.2209754385964912
2022-03-23,0.33518313685289597
2022-03-24,0.31841767435359886
2022-04-13,0.3502434188034188
2022-04-14,0.34702721240112544
2022-04-15,0.3858972871809496
2022-04-16,0.4056937470136655
2022-04-17,0.2808149103139014
2022-04-18,0.3454648952257507
2022-04-19,0.3826108140733848
2022-04-20,0.31953983895182203
2022-04-21,0.34128966272012734
2022-04-22,0.33798439800439595
2022-04-27,0.3277841914430747
2022-04-28,0.36727542833510574
2022-04-29,0.349164788825196
2022-04-30,0.3599726743966461
2022-05-01,0.3490567031820553
2022-05-02,0.3516689429445714
2022-05-10,0.2792887491050424
2022-05-11,0.2024256642750138
2022-05-12,0.21845368088891873
2022-05-13,0.26055452315134764
2022-05-22,0.3359270763500931
2022-05-23,0.3435735549132948
2022-05-24,0.28450721689059505
